timestamp,open,high,low,close,volume
1641081600000,1828.604,1831.624,1827.898,1828.354,0.6929
1641168000000,1828.294,1831.458,1798.189,1804.028,36.6012
1641254400000,1804.024,1816.688,1798.388,1813.788,37.4236
1641340800000,1813.815,1829.584,1808.168,1810.178,42.012
1641427200000,1810.228,1811.438,1786.288,1791.278,49.8755
1641513600000,1791.255,1798.515,1782.495,1795.808,40.9534
1641686400000,1793.955,1796.098,1793.685,1795.048,0.7818
1641772800000,1795.048,1802.848,1790.235,1801.088,42.463
1641859200000,1801.088,1823.228,1801.055,1820.588,40.4649
1641945600000,1820.588,1827.984,1814.578,1825.168,39.0358
1642032000000,1825.168,1828.058,1812.228,1820.728,37.3278
1642118400000,1820.728,1829.048,1814.578,1817.418,40.0432
1642291200000,1817.044,1819.254,1815.768,1816.268,0.7955
1642377600000,1816.268,1823.088,1813,1818.938,20.5563
1642464000000,1818.938,1822.644,1805.658,1814.158,51.7838
1642550400000,1814.168,1843.318,1810.143,1838.414,47.175
1642636800000,1838.424,1847.804,1835.808,1838.808,50.0706
1642723200000,1838.848,1843.108,1828.384,1834.328,51.9344
1642896000000,1834.524,1836.948,1831.428,1834.598,1.2333
1642982400000,1834.588,1844.208,1829.558,1843.538,62.929
1643068800000,1843.538,1853.748,1834.838,1849.398,52.6203
1643155200000,1849.355,1849.448,1814.838,1821.828,56.4664
1643241600000,1821.848,1821.858,1791.678,1797.158,58.468
1643328000000,1797.158,1799.308,1780.158,1791.028,55.547
1643500800000,1791.928,1791.928,1788.338,1789.408,1.1678
1643587200000,1789.408,1799.805,1785.458,1797.748,44.6069
1643673600000,1797.708,1808.638,1795.625,1800.578,40.8987
1643760000000,1800.578,1810.718,1794.358,1807.755,38.9717
1643846400000,1807.798,1808.875,1788.538,1805.608,55.308
1643932800000,1805.608,1814.798,1792.018,1807.558,54.6017
1644105600000,1806.719,1811.308,1806.678,1809.934,1.4873
1644192000000,1809.968,1823.458,1808.638,1821.878,75.9047
1644278400000,1821.878,1828.664,1815.314,1825.838,57.2411
1644364800000,1825.854,1835.708,1824.538,1832.508,43.2235
1644451200000,1832.518,1841.838,1821.534,1826.708,62.5243
1644537600000,1826.708,1865.378,1820.838,1857.898,67.7893
1644710400000,1859.233,1862.028,1855.308,1859.404,1.6907
1644796800000,1859.428,1874.018,1850.698,1870.948,75.157
1644883200000,1870.928,1879.378,1844.398,1852.848,58.5865
1644969600000,1852.848,1872.498,1850.188,1869.788,52.2008
1645056000000,1869.808,1901.016,1867.698,1899.878,70.5174
1645142400000,1899.903,1902.358,1886.478,1897.768,57.7066
1645315200000,1900.818,1906.348,1896.651,1904.758,1.23
1645401600000,1904.758,1914.023,1887.453,1909.448,56.0807
1645488000000,1909.418,1913.798,1891.268,1898.148,70.4825
1645574400000,1898.148,1911.458,1889.548,1910.623,58.2233
1645660800000,1910.643,1974.398,1877.938,1906.398,109.1246
1645747200000,1906.398,1921.478,1882.828,1888.528,74.6189
1645920000000,1919.206,1930.948,1904.208,1910.038,2.415
1646006400000,1910.038,1919.288,1890.768,1906.178,80.6652
1646092800000,1906.178,1950.078,1901.268,1942.188,90.6322
1646179200000,1942.188,1947.788,1913.738,1928.668,75.6177
1646265600000,1928.668,1941.203,1921.906,1934.807,79.2719
1646352000000,1934.807,1970.648,1929.498,1969.848,102.9745
1646524800000,1974.472,1991.358,1974.192,1988.608,2.9835
1646611200000,1988.608,2002.518,1960.878,1998.608,91.8809
1646697600000,1998.678,2070.358,1980.938,2043.648,86.0592
1646784000000,2043.728,2059.068,1976.008,1989.728,75.9872
1646870400000,1989.728,2009.062,1970.508,1995.168,55.2198
1646956800000,1995.168,1997.142,1958.438,1988.248,40.4956
1647129600000,1984.742,1990.308,1970.548,1974.108,1.449
1647216000000,1974.148,1978.662,1949.628,1952.058,38.1576
1647302400000,1952.058,1952.088,1906.948,1917.853,48.3583
1647388800000,1917.829,1929.328,1894.948,1926.898,48.18
1647475200000,1926.888,1949.748,1925.363,1943.778,40.0233
1647561600000,1943.765,1945.203,1917.798,1921.198,32.6508
1647734400000,1921.358,1926.168,1918.058,1918.938,1.595
1647820800000,1918.928,1941.168,1917.858,1935.488,32.0167
1647907200000,1935.488,1938.268,1910.508,1919.543,36.9815
1647993600000,1919.523,1948.293,1915.453,1945.968,34.2654
1648080000000,1945.919,1966.083,1937.278,1959.155,37.3292
1648166400000,1959.155,1964.153,1942.998,1957.688,49.4238
1648339200000,1956.968,1959.053,1954.613,1957.063,1.4377
1648425600000,1957.063,1958.258,1916.838,1923.918,57.5945
1648512000000,1923.938,1929.168,1889.998,1916.268,60.2582
1648598400000,1916.298,1938.428,1915.788,1933.958,46.6273
1648684800000,1933.938,1949.723,1918.988,1936.675,50.5386
1648771200000,1936.675,1939.358,1917.908,1924.778,39.7178
1648944000000,1923.788,1925.758,1921.308,1924.578,1.2719
1649030400000,1924.578,1936.878,1915.328,1931.428,41.2097
1649116800000,1931.428,1944.463,1917.838,1920.518,40.0583
1649203200000,1920.458,1933.348,1915.038,1923.632,49.7514
1649289600000,1923.678,1937.708,1920.378,1932.848,62.1329
1649376000000,1932.878,1948.088,1927.548,1947.138,40.3812
1649548800000,1946.138,1949.838,1943.118,1944.578,1.4976
1649635200000,1944.578,1969.558,1939.882,1952.638,53.1017
1649721600000,1952.638,1978.508,1949.518,1965.758,46.4751
1649808000000,1965.752,1981.482,1962.718,1977.062,46.7202
1649894400000,1977.088,1980.248,1960.412,1973.218,46.4691
1650153600000,1974.038,1988.028,1970.838,1986.622,3.7726
1650240000000,1986.618,1998.268,1976.122,1977.058,44.2569
1650326400000,1977.068,1981.848,1943.588,1949.618,53.235
1650412800000,1949.592,1958.208,1939.16,1956.662,55.6239
1650499200000,1956.658,1957.278,1936.632,1950.848,50.2337
1650585600000,1950.848,1955.482,1926.458,1930.708,59.0597
1650758400000,1930.523,1934.328,1927.953,1932.508,1.7041
1650844800000,1932.568,1932.663,1891.373,1899.258,63.1226
1650931200000,1899.248,1911.108,1895.608,1906.453,52.159
1651017600000,1906.458,1906.898,1881.248,1885.513,58.657
1651104000000,1885.493,1896.608,1871.938,1895.428,55.4105
1651190400000,1895.418,1919.838,1894.373,1895.748,55.5531
1651363200000,1895.635,1899.788,1895.338,1897.118,2.3259
1651449600000,1897.118,1898.373,1854.468,1863.098,52.3277
1651536000000,1863.098,1877.998,1850.308,1868.278,46.0641
1651622400000,1868.278,1893.998,1861.298,1893.814,47.2495
1651708800000,1893.814,1909.633,1872.358,1874.078,63.2113
1651795200000,1874.063,1892.373,1866.001,1883.148,53.8395
1651968000000,1883.068,1885.558,1879.778,1881.128,1.691
1652054400000,1881.118,1881.988,1851.558,1854.565,53.6508
1652140800000,1854.565,1865.278,1833.218,1833.463,56.3087
1652227200000,1833.463,1858.018,1831.838,1853.963,54.6657
1652313600000,1854.058,1858.708,1810.734,1821.248,62.5374
1652400000000,1821.248,1828.678,1798.968,1810.678,44.9026
1652572800000,1809.648,1814.768,1809.628,1813.078,1.6198
1652659200000,1813.048,1829.268,1786.638,1826.254,46.5409
1652745600000,1826.393,1835.998,1812.778,1814.428,54.6392
1652832000000,1814.398,1824.614,1807.228,1815.938,48.911
1652918400000,1815.948,1849.053,1810.798,1841.944,49.8631
1653004800000,1841.973,1849.304,1832.178,1845.738,39.1264
1653177600000,1844.686,1857.858,1843.353,1846.218,1.3688
1653264000000,1846.218,1865.334,1845.648,1853.758,37.9789
1653350400000,1853.768,1869.573,1849.208,1867.345,33.8985
1653436800000,1867.345,1867.878,1842.138,1853.908,31.1082
1653523200000,1853.908,1854.218,1840.798,1852.628,35.2518
1653609600000,1852.648,1861.838,1847.828,1852.838,29.1834
1653782400000,1852.538,1853.788,1848.008,1849.753,0.7477
1653868800000,1849.748,1863.883,1848.598,1852.358,17.5417
1653955200000,1852.328,1857.018,1834.858,1836.328,36.2097
1654041600000,1836.318,1849.894,1828.358,1845.864,34.105
1654128000000,1845.864,1870.508,1843.908,1869.718,28.2344
1654214400000,1869.738,1873.963,1847.273,1850.338,29.4392
1654387200000,1850.618,1853.113,1849.538,1851.458,0.6229
1654473600000,1851.468,1857.748,1837.798,1839.288,31.9271
1654560000000,1839.268,1855.458,1836.923,1853.458,30.9529
1654646400000,1853.548,1859.573,1844.478,1852.643,29.4729
1654732800000,1852.673,1855.268,1839.91,1846.794,33.1182
1654819200000,1846.798,1875.868,1824.948,1871.038,41.4463
1654992000000,1874.938,1878.763,1873.638,1876.883,1.714
1655078400000,1876.878,1877.363,1809.153,1820.878,56.1312
1655164800000,1820.833,1831.538,1804.963,1810.773,52.7639
1655251200000,1810.813,1841.838,1808.528,1833.708,56.2927
1655337600000,1833.708,1857.418,1814.718,1850.634,51.2082
1655424000000,1850.638,1852.953,1833.714,1838.778,46.1064
1655596800000,1837.448,1840.228,1834.493,1838.318,1.1573
1655683200000,1838.318,1845.998,1834.998,1838.988,27.4449
1655769600000,1838.936,1843.518,1828.424,1831.325,39.3006
1655856000000,1831.325,1847.778,1823.288,1836.428,40.356
1655942400000,1836.438,1846.238,1822.388,1824.448,47.7402
1656028800000,1824.443,1831.686,1816.898,1825.858,41.4104
1656201600000,1837.376,1839.363,1829.858,1830.928,1.6672
1656288000000,1830.918,1840.948,1820.678,1823.443,42.8255
1656374400000,1823.423,1829.412,1818.148,1818.298,34.1948
1656460800000,1818.308,1832.958,1811.978,1818.763,39.7403
1656547200000,1818.768,1825.008,1802.618,1806.428,43.1957
1656633600000,1806.448,1811.698,1784.397,1810.598,46.7654
1656806400000,1812.078,1812.169,1807.868,1807.924,1.105
1656892800000,1808.215,1814.198,1803.836,1809.108,24.4899
1656979200000,1809.158,1812.058,1763.748,1769.364,48.1547
1657065600000,1769.364,1772.784,1732.128,1739.818,55.5365
1657152000000,1739.834,1749.014,1736.358,1741.628,41.8
1657238400000,1741.738,1752.387,1732.919,1741.838,40.8937
1657411200000,1742.848,1744.528,1740.098,1741.828,0.7878
1657497600000,1741.828,1743.374,1731.128,1733.104,42.2448
1657584000000,1733.128,1744.098,1723.048,1725.218,46.0154
1657670400000,1725.218,1745.284,1706.948,1731.914,57.4734
1657756800000,1731.914,1733.464,1697.438,1711.504,59.264
1657843200000,1711.504,1716.518,1698.948,1707.798,43.0772
1658016000000,1707.238,1710.528,1705.758,1710.174,1.3913
1658102400000,1710.138,1723.798,1706.584,1708.144,43.9392
1658188800000,1708.124,1718.321,1705.224,1709.888,35.2033
1658275200000,1709.838,1714.411,1692.338,1695.308,36.1181
1658361600000,1695.298,1720.238,1680.748,1718.036,45.5938
1658448000000,1718.036,1739.253,1712.724,1726.618,38.5804
1658620800000,1728.148,1728.148,1724.148,1724.598,1.0556
1658707200000,1724.578,1736.174,1714.653,1718.878,39.9941
1658793600000,1718.998,1728.074,1713.534,1717.814,35.6791
1658880000000,1717.808,1740.138,1711.315,1738.628,39.3268
1658966400000,1738.618,1757.004,1733.828,1754.738,42.6367
1659052800000,1754.828,1767.784,1751.928,1765.698,38.5749
1659225600000,1764.809,1766.11,1760.728,1762.078,0.9754
1659312000000,1762.078,1775.314,1758.208,1772.158,41.5176
1659398400000,1772.158,1787.928,1754.828,1756.648,44.7452
1659484800000,1756.618,1772.662,1754.198,1763.615,35.8506
1659571200000,1763.615,1794.898,1763.258,1793.264,36.054
1659657600000,1793.264,1794.764,1764.907,1774.718,39.401
1659830400000,1773.748,1774.968,1770.565,1774.438,0.8763
1659916800000,1774.428,1790.564,1771.01,1789.034,33.8962
1660003200000,1789.044,1800.364,1783.038,1793.968,30.5938
1660089600000,1793.988,1807.768,1787.478,1791.528,36.9617
1660176000000,1791.548,1799.149,1783.378,1788.828,37.9406
1660262400000,1788.814,1802.548,1784.798,1801.778,35.3012
1660435200000,1802.308,1802.308,1798.828,1799.015,0.6835
1660521600000,1799.015,1801.588,1772.818,1778.384,38.0939
1660608000000,1778.474,1783.038,1771.368,1775.488,31.7664
1660694400000,1775.498,1782.194,1759.714,1764.865,40.3037
1660780800000,1764.865,1772.294,1755.218,1758.378,36.1795
1660867200000,1758.355,1758.458,1745.438,1746.498,35.2729
1661040000000,1746.298,1747.958,1744.848,1745.538,0.9571
1661126400000,1745.558,1748.958,1727.668,1735.084,39.2059
1661212800000,1735.084,1753.974,1730.688,1745.868,40.6946
1661299200000,1745.848,1755.798,1742.355,1750.908,35.3098
1661385600000,1750.898,1765.368,1749.828,1756.255,33.9044
1661472000000,1756.255,1758.684,1734.058,1737.338,38.6326
1661644800000,1736.068,1738.348,1733.258,1734.654,1.5695
1661731200000,1734.664,1745.418,1720.208,1739.348,36.8815
1661817600000,1739.398,1740.334,1721.098,1723.198,40.2524
1661904000000,1723.198,1726.428,1705.598,1708.818,44.7185
1661990400000,1708.794,1708.794,1688.668,1697.018,39.7255
1662076800000,1697.034,1717.878,1696.178,1711.278,38.5863
1662249600000,1712.598,1713.001,1707.804,1707.995,0.9665
1662336000000,1707.995,1715.668,1707.574,1713.928,20.7322
1662422400000,1713.928,1726.566,1699.708,1703.374,45.4119
1662508800000,1703.408,1719.318,1691.218,1716.528,47.2568
1662595200000,1716.498,1728.095,1703.878,1710.558,49.0334
1662681600000,1710.578,1729.344,1709.698,1715.938,40.9395
1662854400000,1717.058,1720.058,1716.241,1718.335,1.212
1662940800000,1718.335,1735.035,1711.808,1725.155,45.1253
1663027200000,1725.144,1731.71,1696.934,1702.064,54.4085
1663113600000,1702.064,1707.014,1693.518,1697.384,51.6589
1663200000000,1697.404,1697.735,1660.24,1662.355,49.786
1663286400000,1662.355,1680.245,1654.048,1673.898,47.1865
1663459200000,1675.958,1679.865,1673.745,1677.848,1.4967
1663545600000,1677.818,1678.628,1659.583,1675.635,42.7012
1663632000000,1675.615,1679.288,1659.875,1666.281,42.3918
1663718400000,1666.281,1687.948,1653.649,1666.938,55.7336
1663804800000,1666.928,1684.788,1655.536,1672.605,63.5537
1663891200000,1672.605,1675.838,1639.617,1643.598,55.6536
1664064000000,1643.458,1645.565,1640.198,1643.925,1.1607
1664150400000,1643.935,1649.648,1621.033,1627.508,65.8626
1664236800000,1627.495,1642.335,1626.587,1628.718,66.7657
1664323200000,1628.748,1662.645,1614.71,1656.095,64.1309
1664409600000,1656.095,1665.045,1641.408,1664.455,59.8581
1664496000000,1664.495,1675.265,1659.158,1659.978,52.4966
1664668800000,1662.198,1665.268,1660.125,1664.085,1.2394
1664755200000,1664.005,1702.465,1659.595,1700.918,48.2541
1664841600000,1700.918,1729.435,1695.068,1725.424,49.6144
1664928000000,1725.434,1727.664,1700.458,1718.248,54.7534
1665014400000,1718.264,1725.434,1706.812,1711.825,44.0433
1665100800000,1711.825,1714.724,1690.504,1694.458,43.3998
1665273600000,1695.464,1699.714,1695.464,1696.568,0.8202
1665360000000,1696.583,1697.128,1665.478,1669.998,41.5974
1665446400000,1669.998,1683.84,1660.91,1663.955,51.0244
1665532800000,1663.955,1678.215,1661.265,1674.438,48.6047
1665619200000,1674.422,1682.336,1642.288,1663.345,56.3704
1665705600000,1663.265,1671.655,1640.095,1643.618,54.0497
1665878400000,1644.068,1647.568,1643.022,1647.398,1.1806
1665964800000,1647.345,1668.268,1646.198,1650.568,53.2105
1666051200000,1652.408,1657.228,1646.508,1648.017,16.7737
1666137600000,1652.157,1653.248,1626.247,1627.018,74.902
1666224000000,1626.907,1645.438,1622.257,1626.828,82.0862
1666310400000,1626.828,1657.798,1617.067,1657.298,111.8297
1666483200000,1657.608,1670.748,1656.458,1661.148,8.2854
1666569600000,1661.077,1663.248,1643.747,1651.588,95.4003
1666656000000,1651.597,1662.187,1638.098,1652.598,77.0379
1666742400000,1652.637,1674.678,1649.558,1667.358,73.4369
1666828800000,1667.287,1670.648,1654.668,1661.728,78.2965
1666915200000,1661.758,1666.858,1637.898,1644.498,67.7543
1667088000000,1643.398,1645.258,1641.297,1643.368,1.9269
1667174400000,1643.388,1645.488,1631.578,1632.248,53.2915
1667260800000,1632.257,1656.878,1630.477,1646.688,68.6662
1667347200000,1646.878,1669.257,1631.708,1633.578,73.7465
1667433600000,1633.537,1640.858,1616.477,1629.588,76.079
1667520000000,1629.647,1681.718,1629.198,1681.148,85.9623
1667692800000,1674.327,1680.137,1672.107,1672.527,2.3759
1667779200000,1672.698,1681.758,1666.707,1673.918,63.201
1667865600000,1673.867,1716.738,1664.557,1711.367,67.4414
1667952000000,1711.348,1722.168,1702.048,1706.348,77.376
1668038400000,1706.358,1756.998,1703.838,1752.078,82.7427
1668124800000,1751.947,1772.448,1747.108,1771.198,83.5152
1668297600000,1765.917,1766.577,1761.177,1763.348,1.8979
1668384000000,1763.298,1774.938,1753.098,1769.298,64.759
1668470400000,1769.398,1786.367,1766.948,1780.648,101.7124
1668556800000,1780.587,1784.928,1770.167,1773.738,74.521
1668643200000,1773.647,1774.668,1754.268,1759.978,75.5861
1668729600000,1759.897,1767.578,1747.317,1750.398,64.1581
1668902400000,1749.817,1752.518,1749.618,1752.157,1.2284
1668988800000,1752.147,1752.807,1732.338,1738.358,53.1841
1669075200000,1738.287,1749.598,1736.867,1740.998,49.6549
1669161600000,1740.947,1753.177,1728.137,1752.198,60.6771
1669248000000,1752.097,1758.468,1752.088,1755.207,39.1395
1669334400000,1755.167,1760.958,1745.848,1754.417,42.9848
1669507200000,1755.787,1755.787,1749.607,1750.717,1.396
1669593600000,1750.697,1763.618,1739.348,1741.108,62.63
1669680000000,1741.118,1758.898,1740.057,1748.725,55.945
1669766400000,1748.747,1773.348,1744.717,1773.248,68.1669
1669852800000,1773.177,1804.298,1771.798,1802.098,75.5358
1669939200000,1802.198,1802.898,1778.418,1797.248,74.7748
1670112000000,1795.937,1799.178,1794.207,1798.788,1.8466
1670198400000,1798.767,1809.758,1766,1769.157,68.0007
1670284800000,1769.137,1780.728,1767.118,1770.798,61.2039
1670371200000,1770.808,1790.357,1768.588,1786.868,65.663
1670457600000,1786.908,1794.728,1781.268,1789.078,53.3716
1670544000000,1789.037,1805.998,1788.298,1795.397,61.8123
1670716800000,1795.687,1797.067,1794.598,1794.848,1.3132
1670803200000,1794.748,1795.328,1777.417,1781.915,45.1742
1670889600000,1781.885,1824.358,1780.875,1809.575,38.5765
1670976000000,1809.595,1814.035,1795.008,1807.575,37.1518
1671062400000,1807.585,1807.725,1773.608,1776.475,36.6928
1671148800000,1776.455,1794.198,1774.205,1792.598,32.4165
1671321600000,1792.257,1793.387,1790.895,1790.965,0.8768
1671408000000,1790.925,1798.637,1783.785,1787.125,26.9738
1671494400000,1787.105,1821.035,1784.505,1817.135,41.3248
1671580800000,1817.135,1823.685,1811.705,1814.845,30.4294
1671667200000,1814.825,1820.325,1784.627,1793.415,29.2458
1671753600000,1793.435,1803.095,1791.065,1798.198,26.9196
1672012800000,1800.047,1803.965,1799.687,1801.685,0.5853
1672099200000,1801.705,1833.215,1800.565,1812.335,31.2426
1672185600000,1812.315,1814.415,1796.905,1805.695,28.0665
1672272000000,1805.655,1820.015,1804.205,1814.895,27.4533
1672358400000,1814.905,1825.877,1813.175,1823.463,56.3691
1672617600000,1826.837,1829.958,1823.287,1829.295,1.6506
1672704000000,1829.285,1849.865,1826.685,1836.348,40.3801
1672790400000,1836.348,1865.035,1836.048,1854.648,44.5523
1672876800000,1854.615,1858.875,1824.995,1832.725,38.3776
1672963200000,1832.715,1869.765,1831.198,1865.598,41.1446
1673136000000,1867.537,1869.808,1864.477,1869.585,0.977
1673222400000,1869.595,1881.445,1866.975,1870.415,28.9776
1673308800000,1870.405,1880.635,1867.745,1877.165,32.5266
1673395200000,1877.125,1886.548,1867.015,1876.845,32.3864
1673481600000,1876.875,1901.475,1872.76,1897.955,35.4073
1673568000000,1897.965,1921.798,1892.205,1919.398,37.621
1673740800000,1920.337,1922.047,1916.795,1916.845,1.7198
1673827200000,1916.865,1928.885,1910.665,1917.845,22.6807
1673913600000,1917.855,1918.925,1903.675,1908.558,27.5633
1674000000000,1908.558,1925.798,1896.495,1906.795,42.0573
1674086400000,1906.825,1935.045,1900.855,1931.575,41.9817
1674172800000,1931.565,1937.435,1920.508,1925.298,31.2658
1674345600000,1926.128,1927.548,1923.608,1927.165,0.7346
1674432000000,1927.175,1935.445,1911.248,1931.225,35.2217
1674518400000,1931.235,1942.348,1917.065,1936.925,36.6496
1674604800000,1936.905,1948.725,1919.697,1948.175,28.1058
1674691200000,1948.195,1949.085,1918.627,1930.655,29.6957
1674777600000,1930.645,1934.918,1916.525,1927.598,30.4511
1674950400000,1927.108,1929.127,1925.378,1928.875,0.7692
1675036800000,1928.885,1934.425,1920.585,1921.985,24.2749
1675123200000,1922.015,1930.998,1900.665,1927.198,28.6355
1675209600000,1927.198,1956.025,1920.435,1952.985,36.3712
1675296000000,1952.985,1959.625,1911.225,1915.025,35.7342
1675382400000,1915.035,1918.485,1861.255,1864.548,38.6778
1675555200000,1864.508,1869.775,1859.647,1865.425,1.1283
1675641600000,1865.405,1881.198,1862.935,1868.445,31.3786
1675728000000,1868.465,1884.348,1864.898,1872.865,36.7899
1675814400000,1872.855,1886.345,1868.898,1874.855,27.1502
1675900800000,1874.855,1890.098,1858.855,1862.305,27.073
1675987200000,1862.305,1872.035,1852.588,1864.698,27.8367
1676160000000,1863.917,1865.178,1862.538,1862.598,0.8808
1676246400000,1862.565,1866.395,1850.325,1854.355,24.3939
1676332800000,1854.355,1870.467,1843.165,1854.825,40.7914
1676419200000,1854.815,1859.998,1830.475,1836.335,28.2941
1676505600000,1836.375,1845.158,1827.555,1834.255,26.6523
1676592000000,1834.255,1843.505,1818.805,1841.898,25.2247
1676764800000,1840.407,1841.798,1838.325,1838.595,0.5429
1676851200000,1838.585,1847.405,1837.145,1841.675,16.8566
1676937600000,1841.655,1843.738,1830.095,1835.435,31.1588
1677024000000,1835.425,1845.905,1823.425,1825.055,30.2695
1677110400000,1825.035,1833.685,1817.395,1823.115,27.2283
1677196800000,1823.115,1827.715,1808.865,1810.665,27.2825
1677369600000,1810.758,1812.985,1810.004,1811.625,0.6133
1677456000000,1811.615,1820.055,1806.538,1817.105,24.1877
1677542400000,1817.105,1831.045,1804.594,1825.395,27.9094
1677628800000,1825.374,1844.408,1822.938,1836.475,28.4922
1677715200000,1836.455,1838.865,1829.854,1837.765,31.9587
1677801600000,1837.755,1856.768,1837.675,1855.798,26.3215
1677974400000,1854.644,1855.314,1852.125,1852.255,0.5224
1678060800000,1852.255,1858.168,1845.015,1846.255,26.6364
1678147200000,1846.225,1851.555,1812.655,1813.865,26.576
1678233600000,1813.855,1824.185,1809.248,1815.175,24.9942
1678320000000,1815.195,1835.565,1811.805,1831.415,23.2825
1678406400000,1831.428,1870.065,1827.675,1867.448,46.7218
1678579200000,1872.398,1894.184,1872.398,1877.675,10.1973
1678665600000,1877.695,1914.475,1871.328,1912.005,58.2256
1678752000000,1912.005,1913.984,1895.228,1902.958,44.0635
1678838400000,1902.935,1937.295,1885.565,1921.105,49.4106
1678924800000,1921.125,1933.385,1907.455,1921.265,49.4817
1679011200000,1921.295,1988.998,1918.135,1987.798,43.9687
1679184000000,1984.148,1990.548,1974.845,1976.895,2.6386
1679270400000,1976.925,2009.695,1965.748,1976.525,43.7071
1679356800000,1976.545,1985.025,1935.194,1943.035,36.909
1679443200000,1943.035,1978.705,1934.175,1969.555,42.9691
1679529600000,1969.565,2003.185,1966.245,1991.205,43.5079
1679616000000,1991.205,2002.848,1975.085,1977.988,40.1664
1679788800000,1979.798,1979.798,1969.104,1975.665,1.6624
1679875200000,1975.645,1978.615,1943.895,1958.035,30.899
1679961600000,1958.005,1975.148,1949.028,1971.835,31.5852
1680048000000,1971.865,1972.735,1958.575,1963.145,28.6338
1680134400000,1963.195,1984.195,1955.204,1978.385,32.4635
1680220800000,1978.365,1987.485,1966.754,1968.748,33.8656
1680393600000,1972.298,1972.298,1956.794,1956.995,2.0518
1680480000000,1957.015,1990.365,1949.595,1984.848,34.9141
1680566400000,1984.825,2024.848,1976.825,2021.755,36.0354
1680652800000,2021.735,2031.968,2009.885,2020.165,29.5477
1680739200000,2020.175,2020.804,2001,2006.476,29.9167
1680998400000,1993.341,2006.355,1992.458,2005.358,1.0457
1681084800000,2005.415,2005.758,1981.545,1992.275,22.1089
1681171200000,1992.255,2007.348,1988.615,2004.615,22.3262
1681257600000,2004.638,2028.235,2001.225,2018.075,31.6518
1681344000000,2018.055,2048.538,2015.158,2039.675,28.6795
1681430400000,2039.645,2047.335,1992.285,2003.498,35.0676
1681603200000,1998.498,2004.874,1997.904,2002.765,1.1976
1681689600000,2002.814,2014.885,1980.974,1993.905,26.2619
1681776000000,1993.875,2011.748,1991.195,2005.608,23.1697
1681862400000,2005.605,2008.045,1969.155,1993.635,29.4826
